nombre,error,error_train,dif_error
RandomForest_10_30_1_35,0.024800431916561335,0.005544831544003119,0.019255600372558218
RandomForest_10_30_1_50,0.025100161401651572,0.0050195598732242185,0.020080601528427354
RandomForest_10_30_1_65,0.0243458901167135,0.005364946805899325,0.018980943310814173
RandomForest_10_30_1_80,0.025838589715831885,0.0051865678653345605,0.020652021850497325
RandomForest_10_30_1_95,0.025582309013802196,0.004897177345068716,0.02068513166873348
RandomForest_10_30_1_110,0.02503388155762004,0.005024542058628191,0.02000933949899185
RandomForest_10_30_1_125,0.025490212371388144,0.0047937633819382435,0.0206964489894499
RandomForest_10_30_1_140,0.026567748126443382,0.00575887450563299,0.02080887362081039
RandomForest_10_30_1_155,0.024428486946894347,0.005432859935430681,0.018995627011463664
RandomForest_10_30_1_170,0.025224374600514413,0.0048723933032925664,0.020351981297221846
